id,creation_tx,amount,timestamp,event_id,token,creator,certificate,certificate
1,0xd68cff4a405eca8e26046acf79253a34b02fa97e96586e509f8e3754726b01fe,50000000000000000,1677059302,1,0x95b26e2fc3ae2b01fd7356cc197032ffc4ac5fb9,0xbdc85027bcdbe20b3430523a773bf3008888fa9d,1,
2,0x115059b834fc7a953442a2ccbc0ea654f7e16d44fb2112b16e1a028b4a26baf2,1080000000000000000,1677521215,2,0x708eca859991fb4c6af7f90cad087cad3a95fcfe,0x2cad9f2e86674ee24c5ee76ff99dc7f314593994,2,
3,0x4ad3736e1acb25c4f3439cd276db5f2bb5c33346761a9aee753dceeadc81e58d,1260000000000000000,1677523295,3,0x708eca859991fb4c6af7f90cad087cad3a95fcfe,0x2cad9f2e86674ee24c5ee76ff99dc7f314593994,3,
4,0xc6b6c2f9b86e6588d09d61fc99bada4773298e0744c9e9e2822b0213fb069cc4,1000000000000000000,1677673583,4,0x96e58418524c01edc7c72dadde5fd5c1c82ea89f,0x5464d19f5561e7888ea0cc043715f4356d52d4cf,4,
5,0xf86a2416ef5de665b70f2c14368c695c0f43e49b8f4a0cd6abe330b3a69a4bb1,10000000000000000,1677774490,5,0x96e58418524c01edc7c72dadde5fd5c1c82ea89f,0x7ebf020a0052035cadc48561eab6d32b631c5b30,5,
6,0x1d8821d9bceb17fad8a04716a5028910957a223a50d85aacbc583840b03b0d40,100000000000000000,1678183324,6,0x96e58418524c01edc7c72dadde5fd5c1c82ea89f,0x6960a0abcfa0668b45f6fda7e2f13a6724bea28e,6,
7,0xbb628118f77aa17f112bf50b5dcfa09a66c475e904d1ac72e831532f5fb69259,100000000000000000,1678198774,7,0x96e58418524c01edc7c72dadde5fd5c1c82ea89f,0x6960a0abcfa0668b45f6fda7e2f13a6724bea28e,7,
8,0xfeb39bc96d5a46631bf86ba88660c6341262efc19e8fa19f304d21bbb27be48f,100000000000000000,1678198899,8,0x96e58418524c01edc7c72dadde5fd5c1c82ea89f,0x6960a0abcfa0668b45f6fda7e2f13a6724bea28e,8,
9,0x4e580a8328c9f5a5a5ada3831f5fb75d61e0a98614a82a68ada7fe3f540c353d,100000000000000000,1678199494,9,0x96e58418524c01edc7c72dadde5fd5c1c82ea89f,0x6960a0abcfa0668b45f6fda7e2f13a6724bea28e,9,
10,0x7c0d7ad3d57f8cccd9d68371aac6341bd38e9524c726b2c669f4a0a06f5eb982,100000000000000000,1678199689,10,0x96e58418524c01edc7c72dadde5fd5c1c82ea89f,0x6960a0abcfa0668b45f6fda7e2f13a6724bea28e,10,
11,0x00322f60480c030a77c456adf4877d34b52f903fe4ee9e5955e0268884d4273a,1000000000000000000,1678288244,11,0x96e58418524c01edc7c72dadde5fd5c1c82ea89f,0x6960a0abcfa0668b45f6fda7e2f13a6724bea28e,11,
12,0xdd85b021af7830933c1728f06fa7e364418711db6b16b605e960b93fb34929af,100000000000000000,1678295574,12,0x96e58418524c01edc7c72dadde5fd5c1c82ea89f,0x6960a0abcfa0668b45f6fda7e2f13a6724bea28e,12,
13,0xc2af89fa570f2f03e92e4621a9895efb52696433958072704732a4ea29328c6a,3046889206846524961,1678965466,13,0x96e58418524c01edc7c72dadde5fd5c1c82ea89f,0xc4d9d1a93068d311ab18e988244123430eb4f1cd,13,
14,0x5ec60dbb9a9ccc2ee2e13469cf9f4e3139f0a498cf33fe555d2601e950ba11b6,6339185602671572213,1679352735,14,0x96e58418524c01edc7c72dadde5fd5c1c82ea89f,0x4b097d42bf7f0629d7c5c2b005c85ff967c0dba4,14,
15,0x479c0755507f619071efcfcf72a9154a0744eebd90206d1812955f87d8965ab2,100,1679575855,15,0x96e58418524c01edc7c72dadde5fd5c1c82ea89f,0x8d7eba777ec06a1517e15ddd993f69fedf3e81d6,,
16,0x343f548dcd404ad4f72dd90e44da81597d44cb89b7c7731a22825bed35993909,1537535478223454306,1679626405,16,0x96e58418524c01edc7c72dadde5fd5c1c82ea89f,0xce10d577295d34782815919843a3a4ef70dc33ce,15,
